property_id,latitude,longitude,park,gym,shop
c03d82e0169b9646f9628c766a820a96,51.5189256,-0.1730681,Italian Gardens,Royal Lancaster London,ALDI
0eaca9c01a72e47b55656d34229fbbf1,51.359806,-0.2012795,Overton Park,PureGym Sutton Times Square,Asda Sutton Superstore
0e91ce654b6fd59d84c47e7c66fcb6ad,51.5641695,-0.1009081,Clissold Park,Sobell Leisure Centre,Tesco Superstore
6afcfb6a633839bcb514e31960abbe15,51.529622,-0.167885,The Regent's Park,1Rebel St John's Wood,ALDI
45112861947e9869c0cff0d2b041d13b,51.4297874,-0.170103,Fishponds Playing Field,Tooting Leisure Centre,Sainsbury's
e51abaded102fdf9a3a8a1e610e4e50a,51.5072178,-0.1275862,St James's Park,Third Space Soho,Whole Foods Market
7d5a7c57203f5ded5cbad0552d7910e5,51.529622,-0.167885,The Regent's Park,1Rebel St John's Wood,ALDI
5b857c074f62efdd07e20c54af1187cb,51.4676639,-0.1113757,Myatt's Fields Park,Brixton Recreation Centre,Lidl
f2f6aa30044d2d2ef8e19a4d1301c12e,51.4283695,-0.1764467,Fishponds Playing Field,Tooting Leisure Centre,Lidl
404c392b174073c3e900f6c849e8f5b2,51.5086937,-0.1484713,Hyde Park Winter Wonderland,The Lanesborough,Marks and Spencer
5566cfa0f58663c6ac134564efa2cd79,51.5297257,-0.1678398,The Regent's Park,1Rebel St John's Wood,ALDI
5fd483ac41694d22294f67522ae0de9c,51.4376149,-0.1266561,Hillside Gardens Park,Virgin Active,Lidl
9a4ad9b24c0b50be11a74a62da7205b5,51.529622,-0.167885,The Regent's Park,1Rebel St John's Wood,ALDI
7b4e3a5416301627d2896d9d16a56f34,51.5395572,-0.1024559,Regent’s Canal Walk,Third Space Islington,Sainsbury's
52bed3c32aa0225ffb113aa0f8d583f8,51.4948323,0.0122541,Greenwich Peninsula Ecology Park - TCV,Novo Armory,Asda Charlton Superstore
29c2ba9dba1431ba1205e93342485f5e,51.5028284,-0.0964968,No park,London Bridge Hotel,Waitrose & Partners
68e1e6935d41ad280817c846e2e8a740,51.4559791,-0.1917484,King George's Park,Virgin Active,Sainsbury's
8266cce174b3c27890f9b783fa166558,51.49851719999999,-0.0489656,Southwark Park,Seven Islands Leisure Centre,Tesco Extra
8dfd57e537da4780dcaad5e5fab73bc5,51.4807859,-0.1328893,Power Station Park,Third Space Battersea,Sainsbury's
788a76d5f0d30afd84fd51bf78a8563a,51.5268153,-0.1634943,The Regent's Park,Holmes Hotel London,ALDI
87137d35668f87ce1c03be42960f1f44,51.4926027,-0.2331046,Ravenscourt Park,PureGym London Hammersmith Palais,Tesco Superstore
e2d8d1b983f3ef5486ea8bb3d1f77ae8,51.5143461,-0.151418,Hyde Park Winter Wonderland,The Marylebone Hotel,Marks and Spencer
