address,price,description,bedrooms,bathrooms,latitude,longitude,postcode,property_id
"Merchant Square, Paddington",9966,"A stunning interior designed apartment with waterside views, set within the heart of the Paddington Basin. This modern fourteenth floor, comprises a striking modern open plan kitchen with breakfast bar, four spacious bedrooms, three luxurious bathrooms and ample storage space. The balcony which s...",4,3,51.5189256,-0.1730681,W2,c03d82e0169b9646f9628c766a820a96
"Grove Avenue, Sutton",1675,"**AVAILABLE APRIL**Leaders are pleased to offer to the market this TWO Bedroom GROUND FLOOR MAISONETTE in a GATED PRIVATE ROAD situated between SOUTH SUTTON and CHEAM VILLAGE within walking distance to both Sutton Town Centre, Cheam Village, Transport and Stations. The property comprises of a Spa...",2,1,51.359806,-0.2012795,SM1 2DA,0eaca9c01a72e47b55656d34229fbbf1
"Wilberforce Road, Finsbury Park",2500,"This rather beautiful first floor maisonette with private garden holds all the charm of an inner North London retreat, delightfully arranged over three levels and lending an abundance of space. Across the first level of this charming apartment lies a spacious landing area and nicely si...",2,1,51.5641695,-0.1009081,N4 2SN,0e91ce654b6fd59d84c47e7c66fcb6ad
"Strathmore Court, Park Road",8790,Spacious six bedroom apartment set over 2553 sq. ft situated in one of the most sought after locations offering fabulous views over Regents Park. The building is located directly opposite one of the entrances to Regents Park and provides an array of sporting facilities including the largest outdo...,6,2,51.529622,-0.167885,NW8,6afcfb6a633839bcb514e31960abbe15
Graveney Road London,2650,"A spacious three double bedroom house offering a double aspect reception/dining room, fully fitted kitchen, conservatory leading onto the private garden, three piece bathroom and W/C.",3,1,51.4297874,-0.170103,SW17,45112861947e9869c0cff0d2b041d13b
"Moluccas Point, 24 Canal Approach, London",2200,"Key features Brand New DevelopmentFully FurnishedIntegrated Smeg Appliances In The KitchenOpen Plan LoungeBalconyLift AccessEnsuite In Master BedroomAmple Storage SpaceAvailable NowGreenwich/Deptford Description This stunning, brand new two-bedroom apartment offers the perfect blen...",2,0,51.5072178,-0.1275862,SE8,e51abaded102fdf9a3a8a1e610e4e50a
"Strathmore Court, Park Road, St Johns Wood",10500,A newly refurbished four bedroom apartment located in a prestigious mansion building offering fabulous views over Regents Park. The apartment boasts a master bedroom with an en suite dressing area and bathroom suite along with a 16ft fitted kitchen and a double volume reception room. The apartm...,4,3,51.529622,-0.167885,NW8,7d5a7c57203f5ded5cbad0552d7910e5
Oval,4000,FAMILIES ONLY - Beautiful four bedroom family townhouse in the heart of Oval.,4,3,51.4676639,-0.1113757,SW9,5b857c074f62efdd07e20c54af1187cb
Fountain Road London,2650,"A spacious three double bedroom house is close to transport and amenities.This property benefits from a modern kitchen and bathroom suite, a separate living room and a private garden.",3,1,51.4283695,-0.1764467,SW17,f2f6aa30044d2d2ef8e19a4d1301c12e
"Hill Street, Mayfair",3727,"Bright and spacious 1 bedroom third floor apartment located on one of Mayfair’s most prestigious roads neighbouring the famous Berkeley Square. The apartment is set over 533sq ft. and offers a large double bedroom, modern fitted bathroom, spacious reception room with front facin...",1,1,51.5086937,-0.1484713,W1J,404c392b174073c3e900f6c849e8f5b2
"Penthouse, Strathmore Court, Park Road",10030,"A superb sixth-floor penthouse apartment located in a prestigious mansion block, offering fabulous views over Regent's Park.The penthouse spans 2,114 square feet and features a large dual-aspect reception/dining room with a south-facing private balcony that provides magnificent views of Regent's ...",4,4,51.5297257,-0.1678398,NW8,5566cfa0f58663c6ac134564efa2cd79
"Streatleigh Court, Streatham High Road, London",3500,"SHORT LET. A fantastic three double bedroom apartment with wooden floors spanning nearly 1000 sq ft, situated moments from Streatham Hill station and the amenities of Streatham High road",3,1,51.4376149,-0.1266561,SW16,5fd483ac41694d22294f67522ae0de9c
"Strathmore Court, Park Road, St Johns Wood",6990,"***Pet Friendly*** Spacious three bedroom apartment located in a prestigious mansion block moments from Regents Park. This third floor apartment is set over 1791 sq. ft. and benefits from ample storage space and comprises a reception room, fitted kitchen, utility room, three double bedrooms and ...",3,2,51.529622,-0.167885,NW8,9a4ad9b24c0b50be11a74a62da7205b5
"Upper Street, London",2150,"Spacious, bright and centrally located apartment with views over Islington Green.",1,1,51.5395572,-0.1024559,N1,7b4e3a5416301627d2896d9d16a56f34
"John Harrison Way, North Greenwich",1700,"A stylish, one bedroom, fourth floor apartment with a private balcony, spectacular riverside views, beautiful communal grounds and secure basement parking. All within easy walking distance of green parks, tube and ferry stations and The O2. A fifteen minute stroll brings you to North Gr...",1,1,51.4948323,0.0122541,SE10 0BL,52bed3c32aa0225ffb113aa0f8d583f8
"Southwark Bridge Road, London",2650,"Positioned on the 5th floor, the top floor, facing west and with a balcony and a view of the London Eye. Fully fitted kitchen, 2 bedroom 2 bathroom flat. With a lift and a video entry phone. Plenty of natural light. with floor-to-ceiling windows and wooden floors. In Southwark, near to Borough Marke",2,2,51.5028284,-0.0964968,SE1,29c2ba9dba1431ba1205e93342485f5e
"Jacquard Apartments, Wandsworth Exchange",3800,"Metra Living are proud to present a modern, three bedroom apartment within the desirable Wandsworth Exchange development. This three bedroom, two bathroom apartment is situated on the 24th Floor with panoramic views across London. This property is furnished and it is available from Mid Apri...",3,2,51.4559791,-0.1917484,SW18,68e1e6935d41ad280817c846e2e8a740
"Montreal House, Surrey Quays Road",2167,"A bright and spacious one bedroom apartment located in Montreal House opposite Canada Water Underground Station. Comprising a large balcony, 561sq.ft of living space, double bedroom with wardrobe storage and luxury bathroom. The apartment further benefits from a 24hr concierge and residents’ gym....",1,1,51.49851719999999,-0.0489656,SE16,8266cce174b3c27890f9b783fa166558
"Baileys House, Nine Elms Lane",2695,"Metra Living are proud to present this superb development situated on one of London's most historic streets and is conveniently surrounded by local supermarkets, bars and restaurants. The excellent transport links nearby will get you into the city in under 30 minutes.This stunning two bedroom apa...",2,2,51.4807859,-0.1328893,SW11,8dfd57e537da4780dcaad5e5fab73bc5
Park Road,4300,"We are pleased to offer this 916 sq ft, second-floor, two-bedroom, one-bathroom apartment set within a ported building opposite Regents Park. This apartment is ideally suited to young professionals or students due to its proximity to the West End, as well as a number of top colleges and universit...",2,1,51.5268153,-0.1634943,NW8,788a76d5f0d30afd84fd51bf78a8563a
"Artisi,181 King St, Hammersmith",3600,"Regent are excited to offer this brand new two-bedroom apartment in the heart of the modern Artisi development, W6. The property comprises two double bedrooms with one en-suite to the master, an open concept living area with a large, fully fitted kitchen leading onto the ba...",2,2,51.4926027,-0.2331046,W6,87137d35668f87ce1c03be42960f1f44
